step,power_db,theta_deg,phi_deg
1.870000000000000000e+02,-9.516726963093236691e+01,9.105290985107421875e+01,-4.757896661758422852e-01
1.880000000000000000e+02,-9.516578114798912225e+01,9.106160736083984375e+01,-4.797182679176330566e-01
1.890000000000000000e+02,-9.516428763270721447e+01,9.107032775878906250e+01,-4.836594760417938232e-01
1.900000000000000000e+02,-9.516278988193873545e+01,9.107907867431640625e+01,-4.876133799552917480e-01
1.910000000000000000e+02,-9.516128829584800997e+01,9.108786010742187500e+01,-4.915798902511596680e-01
1.920000000000000000e+02,-9.515978327405996140e+01,9.109667205810546875e+01,-4.955590665340423584e-01
1.930000000000000000e+02,-9.515827284366542926e+01,9.110551452636718750e+01,-4.995508193969726562e-01
1.940000000000000000e+02,-9.515675898645726249e+01,9.111437988281250000e+01,-5.035552382469177246e-01
1.950000000000000000e+02,-9.515524170620096811e+01,9.112326812744140625e+01,-5.075722336769104004e-01
1.960000000000000000e+02,-9.515371863716165990e+01,9.113218688964843750e+01,-5.116018652915954590e-01
1.970000000000000000e+02,-9.515219373340079301e+01,9.114113616943359375e+01,-5.156440138816833496e-01
1.980000000000000000e+02,-9.515066383991796783e+01,9.115011596679687500e+01,-5.196987986564636230e-01
1.990000000000000000e+02,-9.514913014567476068e+01,9.115911102294921875e+01,-5.237662196159362793e-01
2.000000000000000000e+02,-9.514759147180440380e+01,9.116814422607421875e+01,-5.278460979461669922e-01
2.010000000000000000e+02,-9.514605018911417744e+01,9.117720031738281250e+01,-5.319386124610900879e-01
2.020000000000000000e+02,-9.514450590649349238e+01,9.118629455566406250e+01,-5.360437035560607910e-01
2.030000000000000000e+02,-9.514295508187473160e+01,9.119541168212890625e+01,-5.401612520217895508e-01
2.040000000000000000e+02,-9.514140166044923319e+01,9.120455932617187500e+01,-5.442913770675659180e-01
2.050000000000000000e+02,-9.513984407056881309e+01,9.121372985839843750e+01,-5.484340786933898926e-01
2.060000000000000000e+02,-9.513828152988372722e+01,9.122293090820312500e+01,-5.525892972946166992e-01
2.070000000000000000e+02,-9.513671601080879725e+01,9.123215484619140625e+01,-5.567570328712463379e-01
2.080000000000000000e+02,-9.513514673030171309e+01,9.124140930175781250e+01,-5.609372854232788086e-01
2.090000000000000000e+02,-9.513357290646275999e+01,9.125069427490234375e+01,-5.651300549507141113e-01
2.100000000000000000e+02,-9.513199493738218848e+01,9.126000213623046875e+01,-5.693352818489074707e-01
2.110000000000000000e+02,-9.513041322058808191e+01,9.126934051513671875e+01,-5.735530853271484375e-01
2.120000000000000000e+02,-9.512882933102537208e+01,9.127870178222656250e+01,-5.777834057807922363e-01
2.130000000000000000e+02,-9.512723934610868071e+01,9.128809356689453125e+01,-5.820261836051940918e-01
2.140000000000000000e+02,-9.512564719647161837e+01,9.129751586914062500e+01,-5.862814188003540039e-01
2.150000000000000000e+02,-9.512404974687567005e+01,9.130696105957031250e+01,-5.905491709709167480e-01
2.160000000000000000e+02,-9.512244896380302350e+01,9.131643676757812500e+01,-5.948293805122375488e-01
2.170000000000000000e+02,-9.512084445921564679e+01,9.132593536376953125e+01,-5.991221070289611816e-01
2.180000000000000000e+02,-9.511923545386623857e+01,9.133546447753906250e+01,-6.034272909164428711e-01
2.190000000000000000e+02,-9.511762351957045780e+01,9.134502410888671875e+01,-6.077449321746826172e-01
2.200000000000000000e+02,-9.511600709379689533e+01,9.135461425781250000e+01,-6.120749711990356445e-01
2.210000000000000000e+02,-9.511438696449580732e+01,9.136423492431640625e+01,-6.164175271987915039e-01
2.220000000000000000e+02,-9.511276157119205266e+01,9.137387847900390625e+01,-6.207725405693054199e-01
2.230000000000000000e+02,-9.511113483066012009e+01,9.138354492187500000e+01,-6.251400113105773926e-01
2.240000000000000000e+02,-9.510950244454973301e+01,9.139324951171875000e+01,-6.295199394226074219e-01
2.250000000000000000e+02,-9.510786754561328848e+01,9.140296936035156250e+01,-6.339122653007507324e-01
2.260000000000000000e+02,-9.510622857442780287e+01,9.141272735595703125e+01,-6.383170485496520996e-01
2.270000000000000000e+02,-9.510458436440987384e+01,9.142250823974609375e+01,-6.427342891693115234e-01
2.280000000000000000e+02,-9.510293804435502807e+01,9.143231201171875000e+01,-6.471639275550842285e-01
2.290000000000000000e+02,-9.510128688564813615e+01,9.144215393066406250e+01,-6.516059637069702148e-01
2.300000000000000000e+02,-9.509963245416244604e+01,9.145201110839843750e+01,-6.560605168342590332e-01
2.310000000000000000e+02,-9.509797397411416853e+01,9.146190643310546875e+01,-6.605274677276611328e-01
2.320000000000000000e+02,-9.509631145038055422e+01,9.147182464599609375e+01,-6.650068163871765137e-01
2.330000000000000000e+02,-9.509464605659289305e+01,9.148176574707031250e+01,-6.694985628128051758e-01
2.340000000000000000e+02,-9.509297701743059861e+01,9.149173736572265625e+01,-6.740027666091918945e-01
2.350000000000000000e+02,-9.509130239092799286e+01,9.150173950195312500e+01,-6.785193681716918945e-01
2.360000000000000000e+02,-9.508962529684939113e+01,9.151176452636718750e+01,-6.830483675003051758e-01
2.370000000000000000e+02,-9.508794418237540924e+01,9.152182006835937500e+01,-6.875898241996765137e-01
2.380000000000000000e+02,-9.508625866359324164e+01,9.153189849853515625e+01,-6.921436190605163574e-01
2.390000000000000000e+02,-9.508457107795813101e+01,9.154200744628906250e+01,-6.967098712921142578e-01
2.400000000000000000e+02,-9.508287870843533085e+01,9.155214691162109375e+01,-7.012885212898254395e-01
2.410000000000000000e+02,-9.508118272599999443e+01,9.156230926513671875e+01,-7.058795094490051270e-01
2.420000000000000000e+02,-9.507948235869201881e+01,9.157249450683593750e+01,-7.104829549789428711e-01
2.430000000000000000e+02,-9.507777994035187419e+01,9.158271789550781250e+01,-7.150987982749938965e-01
2.440000000000000000e+02,-9.507607159445393563e+01,9.159296417236328125e+01,-7.197269797325134277e-01
2.450000000000000000e+02,-9.507436159368687356e+01,9.160323333740234375e+01,-7.243676185607910156e-01
2.460000000000000000e+02,-9.507264761458534963e+01,9.161353302001953125e+01,-7.290206551551818848e-01
2.470000000000000000e+02,-9.507092849974210935e+01,9.162386322021484375e+01,-7.336860299110412598e-01
2.480000000000000000e+02,-9.506920619205527601e+01,9.163421630859375000e+01,-7.383638024330139160e-01
2.490000000000000000e+02,-9.506747992128603642e+01,9.164459991455078125e+01,-7.430539727210998535e-01
2.500000000000000000e+02,-9.506575124042511504e+01,9.165500640869140625e+01,-7.477565407752990723e-01
2.510000000000000000e+02,-9.506401821839978084e+01,9.166545104980468750e+01,-7.524715065956115723e-01
2.520000000000000000e+02,-9.506228124736941254e+01,9.167591857910156250e+01,-7.571988105773925781e-01
2.530000000000000000e+02,-9.506053994581230882e+01,9.168641662597656250e+01,-7.619385719299316406e-01
2.540000000000000000e+02,-9.505879663749118436e+01,9.169694519042968750e+01,-7.666906714439392090e-01
2.550000000000000000e+02,-9.505704862153211820e+01,9.170749664306640625e+01,-7.714551687240600586e-01
2.560000000000000000e+02,-9.505529590389913608e+01,9.171807861328125000e+01,-7.762320041656494141e-01
2.570000000000000000e+02,-9.505354157786445057e+01,9.172868347167968750e+01,-7.810212373733520508e-01
2.580000000000000000e+02,-9.505178255961219236e+01,9.173931884765625000e+01,-7.858228683471679688e-01
2.590000000000000000e+02,-9.505001962632776724e+01,9.174997711181640625e+01,-7.906368970870971680e-01
2.600000000000000000e+02,-9.504825316850899242e+01,9.176067352294921875e+01,-7.954632639884948730e-01
2.610000000000000000e+02,-9.504648396131744903e+01,9.177138519287109375e+01,-8.003020286560058594e-01
